epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,1.555208081893921,1.276254899406433,0.41554,0.5396,8.64976167678833
2,1.098019959640503,1.27222913646698,0.61072,0.5556,8.434451818466187
3,0.9222897436523437,1.0588798835754394,0.6766,0.6391,8.14471435546875
4,0.8114715589523316,0.8557470474243164,0.72046,0.713,8.440129280090332
5,0.7263343724250794,0.7839264882087708,0.7544,0.7351,8.343038558959961
6,0.6785025276565552,0.742357241153717,0.76854,0.7554,8.374579429626465
7,0.6280586654663086,0.6548827136039734,0.78804,0.7822,7.636199474334717
8,0.5829530837440491,0.6544693718910217,0.80542,0.7842,7.557085990905762
9,0.5403108140087127,0.6385966261386872,0.81994,0.787,7.590228319168091
10,0.5059265037155152,0.5478414647817612,0.83082,0.818,7.419335603713989
11,0.4725122494506836,0.4954501242160797,0.84146,0.8346,7.387278079986572
12,0.44286143905639647,0.5313314962387085,0.85214,0.8216,7.72813868522644
13,0.40986009164810183,0.4801248513698578,0.86214,0.8387,7.563432216644287
14,0.38738285826683044,0.4527520709514618,0.87062,0.8467,7.884753465652466
15,0.35745054051399233,0.42899815177917483,0.8798,0.86,7.636982440948486
16,0.3353720705318451,0.43419189324378965,0.8862,0.8555,7.706704378128052
17,0.30327777720451354,0.4367378366470337,0.89748,0.8601,7.524643898010254
18,0.27864930012702943,0.4121180260658264,0.90602,0.8671,7.637953042984009
19,0.2563287462615967,0.38020095498561857,0.91306,0.8782,7.763789892196655
20,0.23417891570568083,0.3889480315685272,0.92176,0.8748,7.286121606826782
21,0.20611993449211122,0.3851450211524963,0.92992,0.8769,7.467382431030273
22,0.1866348050403595,0.3681594253063202,0.93592,0.8836,7.381434679031372
23,0.16490871631622314,0.3651755174994469,0.945,0.8857,7.656073093414307
24,0.14626682903289795,0.36514546921253205,0.95048,0.8882,7.29922890663147
25,0.12744665487766266,0.3499691983222961,0.9562,0.8953,7.176672458648682
26,0.1146990092420578,0.3555689167976379,0.96128,0.896,7.241911172866821
27,0.09822817276477813,0.36098101143836975,0.96694,0.8954,7.652065753936768
28,0.0938557697558403,0.35065336337089537,0.96866,0.8993,7.33228611946106
29,0.08873901784658432,0.3512023154735565,0.9707,0.9005,7.450454235076904
30,0.08529094031333924,0.35358587527275087,0.97172,0.9003,7.80338191986084
